Frequency	amp(Vo1)	phase(Vo1)
50	0.00171751	-1.77791
53.6134	-0.00374421	-1.91104
57.4878	-0.00383937	-2.05787
61.6423	-0.00378553	-2.20844
66.0971	-0.00310931	-2.37102
70.8737	-0.00331738	-2.56146
75.9956	-0.00138926	-2.72877
81.4875	-0.00036124	-2.92747
87.3764	-0.00673761	-3.18528
93.6909	-0.000615564	-3.36821
100.462	-0.000877598	-3.60217
107.722	-0.00147169	-3.87418
115.506	-0.000509344	-4.15188
123.854	-0.000313802	-4.44477
132.804	-0.00273674	-4.77107
142.402	-0.00141395	-5.12455
152.693	-0.00364401	-5.49221
163.727	-0.00080716	-5.88356
175.56	-0.00107251	-6.30848
188.247	-0.00389435	-6.77827
201.851	-0.00279043	-7.26099
216.438	-0.00485632	-7.81582
232.079	-0.00363043	-8.38167
248.851	-0.00727848	-8.9883
266.835	-0.00158062	-9.58853
286.118	-0.00179835	-10.2898
306.795	-0.0061387	-11.0294
328.967	-0.00415279	-11.8281
352.74	-0.00283388	-12.6832
378.232	-0.00667425	-13.6364
405.565	-0.00743859	-14.6157
434.875	-0.0135642	-15.6975
466.302	-0.0111536	-16.815
500	-0.00451636	-17.9842
536.134	-0.00860129	-19.2896
574.878	-0.0106688	-20.6745
616.423	-0.0171858	-22.2328
660.971	-0.0140076	-23.7779
708.737	-0.0189223	-25.5572
759.956	-0.0194148	-27.3498
814.875	-0.0221524	-29.3051
873.764	-0.027112	-31.4173
936.909	-0.0297014	-33.751
1004.62	-0.0348659	-36.1468
1077.22	-0.044707	-38.794
1155.06	-0.0522942	-41.6187
1238.54	-0.046113	-44.5919
1328.04	-0.0704947	-47.739
1424.02	-0.0518608	-50.996
1526.93	-0.171572	-55.1284
1637.27	0.412495	-57.3634
1755.6	0.0393121	-63.9404
1882.47	-0.12775	-66.8254
2018.51	-0.398729	-72.6986
2164.38	0.59455	-76.1193
2320.79	1.21214	-73.453
2488.51	4.68147	-116.751
2668.35	2.18029	-107.385
2861.18	-0.887757	-98.313
3067.95	-0.15532	-108.363
3289.67	-1.90772	-105.51
3527.4	-0.331118	-123.407
3782.32	-3.29692	-145.346
4055.65	0.473327	-157.964
4348.75	2.52324	-199.533
4663.02	7.30387	-21.6851
5000	11.6343	-179.915
5361.34	7.36447	-73.8248
5748.78	-4.87193	10.1646
6164.23	-2.56321	143.727
6609.71	-4.59369	78.4259
7087.37	0.596696	105.913
7599.56	0.185147	128.308
8148.75	-3.03334	54.4069
8737.64	-3.16268	67.6724
9369.09	-1.06232	101.418
10046.2	-5.75069	85.0846
10772.2	0.605967	-89.049
11550.6	-0.454085	-65.4965
12385.4	-3.15649	-141.269
13280.4	-12.519	-277.704
14240.2	-5.46019	-320.358
15269.3	-15.0529	-380.177
16372.7	-15.717	-304.499
17556	-9.07168	-475.476
18824.7	-5.71232	-471.307
20185.1	-3.21849	-272.222
21643.8	-7.1779	-376.529
23207.9	-10.923	-252.04
24885.1	-30.8359	-287.395
26683.5	-5.5454	-369.903
28611.8	-12.9132	-489.498
30679.5	-10.2184	-434.964
32896.7	-9.05861	-471.871
35274	-11.0864	-534.951
37823.2	-10.1024	-442.026
40556.5	-12.1688	-294.037
43487.5	-9.20027	-402.105
46630.2	-10.6314	-370.627
50000	-9.18426	-537.91
