Frequency	amp(Vo1)	phase(Vo1)
50	-0.000811817	-1.73915
53.6134	-0.0186841	-1.91734
57.4878	-0.000537241	-2.08835
61.6423	0.00968837	-2.21983
66.0971	-0.00111235	-2.37301
70.8737	-0.0171734	-2.58179
75.9956	-0.00244304	-2.78788
81.4875	0.00771509	-2.95789
87.3764	-0.00329646	-3.1311
93.6909	-0.0173784	-3.51975
100.462	0.00268665	-3.69507
107.722	0.0079079	-3.8724
115.506	-0.000537521	-4.14145
123.854	-0.0247708	-4.44962
132.804	0.00205383	-4.7862
142.402	0.00138682	-5.21641
152.693	-0.00621021	-5.50531
163.727	-0.0189693	-5.94874
175.56	-0.00178535	-6.28951
188.247	0.00182943	-6.95723
201.851	-0.00520328	-7.34359
216.438	-0.000875699	-7.76859
232.079	0.00712074	-8.53608
248.851	-0.00820061	-9.04178
266.835	-0.0230852	-9.61332
286.118	0.00484708	-10.3733
306.795	0.000941376	-11.1905
328.967	-0.000889327	-11.7777
352.74	-0.0145321	-12.732
378.232	-0.0113481	-13.6578
405.565	0.0111479	-14.5342
434.875	0.00325196	-15.8279
466.302	0.00432994	-16.8923
500	0.0513839	-17.7535
536.134	-0.00627841	-19.5445
574.878	-0.0198315	-20.897
616.423	-0.0514438	-22.3502
660.971	-0.0179586	-23.8525
708.737	-0.00224443	-25.5741
759.956	0.0123433	-27.3779
814.875	-0.0501731	-29.5404
873.764	-0.0248134	-31.5295
936.909	-0.00819273	-33.8362
1004.62	-0.0426109	-36.1823
1077.22	-0.0753563	-38.9612
1155.06	-0.0306974	-41.5253
1238.54	-0.0406882	-44.6879
1328.04	-0.0655364	-47.7619
1424.02	-0.123002	-51.4896
1526.93	-0.0665184	-54.3948
1637.27	0.349917	-57.2457
1755.6	-0.044847	-62.0588
1882.47	-0.0679331	-67.4422
2018.51	-0.291625	-70.7546
2164.38	-0.203793	-71.6253
2320.79	0.691616	-71.1703
2488.51	4.53595	-118.868
2668.35	-3.58772	-72.1783
2861.18	-0.564402	-97.8708
3067.95	-0.683151	-110.218
3289.67	-2.20666	-123.185
3527.4	-0.748326	-126.428
3782.32	-4.04877	-129.826
4055.65	-0.313396	-161.379
4348.75	0.456283	-105.994
4663.02	9.23775	-109.868
5000	11.6349	-179.962
5361.34	8.72055	-250.448
5748.78	0.19554	-282.071
6164.23	-0.956792	-226.819
6609.71	-5.19199	-266.829
7087.37	-5.44537	-213.16
7599.56	1.07464	-327.074
8148.75	-0.723232	-305.857
8737.64	-5.87113	-315.389
9369.09	-1.67558	-338.656
10046.2	3.21294	-277.014
10772.2	-1.63404	-360.716
11550.6	-20.6068	-401.758
12385.4	-6.11691	-377.556
13280.4	-5.32539	-483.366
14240.2	-6.10535	-296.799
15269.3	-4.37662	-276.089
16372.7	-6.66218	-385.133
17556	-10.5551	-537.957
18824.7	-2.56272	-237.82
20185.1	-3.65631	-158.969
21643.8	-8.60416	-272.579
23207.9	-8.82211	-243.728
24885.1	-3.86093	-269.959
26683.5	-4.99884	-371.126
28611.8	-6.0072	-183.388
30679.5	-13.4905	-357.373
32896.7	-12.6044	-532.431
35274	-18.1201	-293.871
37823.2	-20.7735	-447.735
40556.5	-4.24173	-482.765
43487.5	-7.32624	-395.741
46630.2	-10.547	-420.019
50000	-12.4583	-356.784
