Frequency	amp(Vo1)	phase(Vo1)
50	0.00590814	-0.877895
53.6134	-0.00357474	-0.955582
57.4878	-0.00373601	-1.02027
61.6423	-0.00348155	-1.0973
66.0971	-0.0028008	-1.18225
70.8737	-0.00273241	-1.28625
75.9956	-0.000780218	-1.36464
81.4875	0.000241613	-1.46123
87.3764	-0.00638327	-1.61349
93.6909	-0.000683049	-1.67535
100.462	0.0015359	-1.80053
107.722	0.000347854	-1.92754
115.506	-0.000387616	-2.06465
123.854	0.000140465	-2.21512
132.804	-0.00250393	-2.38102
142.402	-0.000206969	-2.55436
152.693	-0.00347686	-2.77997
163.727	-0.000232087	-2.9334
175.56	0.000638875	-3.1493
188.247	-0.00348909	-3.38002
201.851	-0.00118135	-3.63047
216.438	-0.00306686	-3.92524
232.079	-0.00214108	-4.20717
248.851	-0.00575269	-4.51252
266.835	-8.43263e-005	-4.79126
286.118	0.00040012	-5.14151
306.795	-0.00404234	-5.5176
328.967	0.000352908	-5.91504
352.74	0.00139054	-6.32766
378.232	-0.00550703	-6.84171
405.565	-0.00311744	-7.32862
434.875	-0.00181976	-7.81539
466.302	-0.00227025	-8.37878
500	-0.0108361	-9.02843
536.134	-0.00346323	-9.67548
574.878	-0.003873	-10.3372
616.423	-0.00251432	-11.0719
660.971	-0.00125904	-11.893
708.737	-0.00756331	-12.7934
759.956	-0.00649882	-13.6692
814.875	-0.0111389	-14.6463
873.764	-0.00830856	-15.7448
936.909	-0.00771163	-16.8126
1004.62	-0.00803354	-18.0742
1077.22	-0.0106208	-19.4149
1155.06	-0.0118692	-20.8619
1238.54	-0.0163778	-22.2528
1328.04	-0.0151418	-23.9526
1424.02	-0.0154814	-25.404
1526.93	-0.0375425	-27.8324
1637.27	0.121696	-27.7975
1755.6	-0.030834	-32.1079
1882.47	-0.0234247	-34.0542
2018.51	-0.0688923	-36.2795
2164.38	-0.0973855	-38.8989
2320.79	-0.0177545	-42.0362
2488.51	-0.0933083	-44.985
2668.35	0.0445744	-48.55
2861.18	-0.224334	-52.3484
3067.95	0.0781288	-54.5005
3289.67	0.209008	-62.8692
3527.4	0.0159586	-65.4241
3782.32	-0.923241	-48.9508
4055.65	1.1723	-57.1895
4348.75	-0.805418	-21.4401
4663.02	9.50887	-8.11019
5000	11.6333	-89.97
5361.34	10.728	-124.916
5748.78	6.56975	-128.182
6164.23	0.809633	-113.834
6609.71	0.571273	-130.171
7087.37	-3.1076	-128.369
7599.56	-1.46952	-133.658
8148.75	0.0273751	-140.816
8737.64	-0.487881	-147.532
9369.09	-0.0521752	-186.491
10046.2	4.09138	-198.206
10772.2	-0.986152	-211.003
11550.6	0.389895	-204.721
12385.4	-2.73469	-216.203
13280.4	0.54059	-230.886
14240.2	-6.63083	-148.463
15269.3	0.970398	-301.842
16372.7	0.714728	-298.704
17556	-2.40882	-306.126
18824.7	-2.9332	-362.828
20185.1	-3.80226	-355.482
21643.8	-20.2729	-325.648
23207.9	-5.27635	-458.337
24885.1	-3.48029	-360.098
26683.5	-5.73766	-181.744
28611.8	-6.73519	-263.042
30679.5	-7.94745	-284.452
32896.7	-8.22354	-322.911
35274	-5.36917	-182.395
37823.2	-7.39114	-165.12
40556.5	-11.3322	-172.025
43487.5	-5.82479	-202.774
46630.2	-9.75722	-304.912
50000	-24.4244	-368.156
