Frequency	amp(Vo1)	phase(Vo1)
50	0.0206165	-0.855116
53.6134	-0.0133485	-0.953235
57.4878	0.0030497	-1.04447
61.6423	0.00814703	-1.10857
66.0971	-0.00125593	-1.18226
70.8737	-0.0143654	-1.30101
75.9956	-0.00160424	-1.3859
81.4875	0.0055174	-1.46385
87.3764	-0.00647947	-1.57533
93.6909	-0.0199545	-1.70042
100.462	0.00142543	-1.86064
107.722	8.96578e-005	-1.93024
115.506	-0.00613963	-2.06688
123.854	-0.026966	-2.21233
132.804	0.00212794	-2.4007
142.402	0.00343639	-2.60492
152.693	-0.00562525	-2.76185
163.727	-0.0199804	-2.93409
175.56	0.00542513	-3.13115
188.247	0.00466807	-3.36661
201.851	-0.001855	-3.69153
216.438	-0.00256196	-3.90839
232.079	0.00997349	-4.17402
248.851	0.00417309	-4.47672
266.835	0.00245	-4.83677
286.118	-0.0106092	-5.09197
306.795	0.00736249	-5.4924
328.967	-0.0202381	-5.7868
352.74	-0.0179765	-6.44784
378.232	-0.00697134	-6.89436
405.565	-0.00293613	-7.39336
434.875	0.0095324	-7.79817
466.302	-0.0111127	-8.39288
500	0.03291	-8.82403
536.134	0.00509221	-9.6582
574.878	0.000194011	-10.2556
616.423	-0.0180537	-11.0391
660.971	0.0158213	-11.8125
708.737	0.00584334	-12.7045
759.956	0.00576996	-13.6888
814.875	-0.0416385	-14.6727
873.764	0.0118891	-15.6853
936.909	-0.00293521	-16.8482
1004.62	-0.00135898	-18.0698
1077.22	-0.0426208	-19.4089
1155.06	0.010797	-20.7595
1238.54	-0.0213998	-22.0252
1328.04	-0.0457342	-23.8091
1424.02	-0.0403415	-25.311
1526.93	0.0453225	-27.3261
1637.27	0.239379	-28.7249
1755.6	-0.0235928	-30.9063
1882.47	-0.0539039	-33.7327
2018.51	-0.00648202	-36.5106
2164.38	-0.0624247	-39.2114
2320.79	0.0075654	-41.3856
2488.51	-0.101199	-44.5442
2668.35	-0.132298	-49.6337
2861.18	-0.255074	-50.5165
3067.95	-0.0655141	-56.5247
3289.67	-0.849788	-60.3134
3527.4	-0.485393	-64.2863
3782.32	-2.5489	-81.3902
4055.65	0.612505	-87.0081
4348.75	3.93065	-40.4957
4663.02	10.7013	-50.6406
5000	11.6437	-89.5984
5361.34	10.5084	-131.829
5748.78	-0.0319364	-185.076
6164.23	-1.48556	-117.136
6609.71	0.352439	-130.954
7087.37	-3.14385	-128.708
7599.56	0.0507368	-139.317
8148.75	0.131624	-154.481
8737.64	-1.39394	-151.039
9369.09	-3.23257	-148.335
10046.2	-20.2755	-114.719
10772.2	-0.587104	-207.094
11550.6	-0.978918	-224.038
12385.4	-1.361	-221.306
13280.4	-1.80543	-227.324
14240.2	-1.66798	-292.876
15269.3	1.31445	-271.702
16372.7	0.475119	-292.445
17556	-0.965026	-312.924
18824.7	-3.18375	-381.053
20185.1	-13.9623	-258.651
21643.8	-16.6667	-231.776
23207.9	-5.90723	-94.8312
24885.1	-3.46941	-6.74397
26683.5	-5.25464	-180.481
28611.8	-9.28131	-227.175
30679.5	-15.7366	-124.945
32896.7	-7.95091	-22.2603
35274	-6.20106	60.9758
37823.2	-9.72293	190.502
40556.5	-7.90569	149.424
43487.5	-10.8247	167.113
46630.2	-10.9304	321.091
50000	-10.1367	366.432
