Frequency	amp(Vo1)	phase(Vo1)
50	0.00164319	-1.77666
53.6134	-0.00378438	-1.91108
57.4878	-0.00378426	-2.05833
61.6423	-0.00370129	-2.20775
66.0971	-0.00301949	-2.37095
70.8737	-0.00229967	-2.58834
75.9956	-0.00634525	-2.76967
81.4875	-0.000889843	-2.92196
87.3764	-0.00221262	-3.15102
93.6909	-0.000370158	-3.36275
100.462	-0.00100319	-3.60662
107.722	-0.00457513	-3.90872
115.506	-0.0032138	-4.16764
123.854	-0.00218603	-4.46565
132.804	-0.00680364	-4.82205
142.402	-0.000228894	-5.10987
152.693	-0.00399016	-5.52653
163.727	-0.00479869	-5.88181
175.56	-0.00200611	-6.3189
188.247	-0.00440708	-6.76392
201.851	-0.00678527	-7.29854
216.438	-0.00266052	-7.77483
232.079	-0.0020453	-8.34557
248.851	-0.00550956	-8.94377
266.835	-0.00916089	-9.65118
286.118	-0.00369658	-10.2855
306.795	-0.00546132	-11.0725
328.967	-0.00456192	-11.8317
352.74	-0.012084	-12.7426
378.232	-0.0039962	-13.6066
405.565	-0.00712909	-14.5884
434.875	-0.00497817	-15.6498
466.302	-0.00585284	-16.7841
500	-0.00712082	-18.0217
536.134	-0.00882389	-19.2962
574.878	-0.0110376	-20.6768
616.423	-0.0108318	-22.1873
660.971	-0.0165771	-23.7855
708.737	-0.0169218	-25.4969
759.956	-0.0202136	-27.3627
814.875	-0.0230998	-29.3116
873.764	-0.0256821	-31.4322
936.909	-0.0308452	-33.7246
1004.62	-0.0426561	-36.1831
1077.22	-0.0393083	-38.7547
1155.06	-0.0484362	-41.5308
1238.54	-0.0406759	-44.4608
1328.04	-0.0703932	-47.7987
1424.02	-0.0722882	-51.468
1526.93	-0.039885	-54.4361
1637.27	-0.0131345	-54.7644
1755.6	-0.175677	-63.9205
1882.47	-0.183849	-67.5274
2018.51	-0.344451	-72.2262
2164.38	-0.860403	-74.7783
2320.79	1.61262	-81.2957
2488.51	4.37965	-120.646
2668.35	-2.51669	-71.851
2861.18	-0.668457	-98.4086
3067.95	-0.564083	-106.58
3289.67	-2.09987	-129.906
3527.4	-0.684087	-128.277
3782.32	2.01255	-138.356
4055.65	0.486539	-157.926
4348.75	5.66175	-142.791
4663.02	9.9972	-203.017
5000	11.6437	-360.006
5361.34	8.33302	-479.4
5748.78	5.87748	-182.986
6164.23	-0.585783	-215.756
6609.71	-2.17763	-228.405
7087.37	-5.21221	-260.084
7599.56	-3.91209	-200.819
8148.75	-5.5813	-288.136
8737.64	-4.64084	-325.27
9369.09	1.68064	-387.917
10046.2	-0.245337	-337.015
10772.2	-3.07757	-299.39
11550.6	-31.5514	-142.778
12385.4	-12.6553	-72.4007
13280.4	-11.6875	-17.7837
14240.2	-8.43699	-159.614
15269.3	-30.9262	-156.177
16372.7	-13.8086	-298.957
17556	-14.1352	-366.258
18824.7	-2.72436	-537.824
20185.1	-4.81759	-488.417
21643.8	-10.4706	-191.047
23207.9	-3.67666	-344.591
24885.1	-7.34633	-210.642
26683.5	-7.8342	-69.2186
28611.8	-5.45327	-221.666
30679.5	-10.4769	-169.699
32896.7	-12.2126	-16.3764
35274	-9.70176	141.666
37823.2	-13.0927	103.508
40556.5	-12.5036	28.405
43487.5	-6.4381	46.4826
46630.2	-9.83218	-62.5847
50000	-9.63498	-180.623
