Frequency	amp(Vo1)	phase(Vo1)
50	-0.000734662	-1.72666
53.6134	-0.0182277	-1.90097
57.4878	-0.000263878	-2.07142
61.6423	0.00955684	-2.20373
66.0971	-0.00127208	-2.35621
70.8737	-0.0168337	-2.56378
75.9956	-0.00217319	-2.76715
81.4875	0.00829943	-2.93505
87.3764	-0.00292948	-3.10424
93.6909	-0.0172444	-3.49523
100.462	0.00279549	-3.66699
107.722	0.00802493	-3.84408
115.506	-0.000287109	-4.10859
123.854	-0.0244126	-4.41475
132.804	0.00189884	-4.75194
142.402	0.00205754	-5.1781
152.693	-0.00590775	-5.46946
163.727	-0.0177436	-5.90028
175.56	-0.00136963	-6.25863
188.247	0.000254506	-6.89614
201.851	-0.00556424	-7.28555
216.438	-0.000426835	-7.71869
232.079	0.00833045	-8.46936
248.851	-0.00597014	-8.96845
266.835	-0.00714447	-9.61216
286.118	-0.00444531	-10.1938
306.795	0.00170885	-10.9698
328.967	-0.00556323	-11.6799
352.74	-0.00687609	-12.6135
378.232	0.0100646	-13.5678
405.565	0.0164594	-14.4341
434.875	0.0270767	-15.7778
466.302	0.0139887	-16.7041
500	0.0464037	-17.6293
536.134	-0.00141177	-19.29
574.878	-0.00864934	-20.7057
616.423	-0.0445805	-22.1438
660.971	-0.0213436	-23.7143
708.737	-0.0093872	-25.4343
759.956	-0.0236739	-27.1921
814.875	-0.0420299	-29.3971
873.764	-0.0103674	-31.1606
936.909	0.023155	-33.5581
1004.62	-0.0506468	-36.1088
1077.22	-0.0324887	-38.62
1155.06	-0.0474741	-41.6627
1238.54	-0.0400981	-44.4285
1328.04	-0.0729447	-47.5874
1424.02	-0.0609163	-51.0074
1526.93	-0.141844	-54.1884
1637.27	-0.0596397	-54.5703
1755.6	-0.194239	-63.7398
1882.47	-0.19164	-67.7649
2018.51	-0.375311	-72.6245
2164.38	-0.538477	-82.2011
2320.79	1.27344	-75.3117
2488.51	4.68443	-116.473
2668.35	2.47854	-101.382
2861.18	0.228951	-104.332
3067.95	-0.300183	-111.014
3289.67	-0.0004412	-128.826
3527.4	-0.302779	-129.078
3782.32	-1.46933	-153.168
4055.65	-0.970095	-161.643
4348.75	5.96879	-151.122
4663.02	9.70644	-211.129
5000	11.642	-359.976
5361.34	7.83837	-459.964
5748.78	-2.05492	-466.594
6164.23	-2.06575	-226.34
6609.71	-5.48641	-284.306
7087.37	-2.74719	-275.856
7599.56	0.553879	-214.484
8148.75	-11.1436	-264.53
8737.64	-7.74025	-304.828
9369.09	-0.155918	-410.273
10046.2	-11.4301	-297.492
10772.2	0.0834168	-437.396
11550.6	-5.21444	-429.057
12385.4	-7.76858	-475.619
13280.4	-15.0129	-369.691
14240.2	-6.93557	-536.239
15269.3	-15.1221	-319.523
16372.7	-5.71865	-331.054
17556	-4.83152	-366.259
18824.7	-2.68651	-199.596
20185.1	-3.62275	-148.114
21643.8	-8.59828	-274.89
23207.9	-12.3478	-107.15
24885.1	-5.09441	-154.944
26683.5	-14.9827	-224.604
28611.8	-15.117	-185.249
30679.5	-22.1311	-60.2815
32896.7	-8.86893	-101.871
35274	-4.78882	-49.5422
37823.2	-3.68637	100.898
40556.5	-13.1364	-41.6976
43487.5	-17.5536	-98.0009
46630.2	-13.8507	-189.997
50000	-9.40177	-359.16
