Frequency	amp(Vo1)	phase(Vo1)
50	0.00272603	-5.35976
52.3726	-0.000559526	-5.63272
54.8578	-0.002785	-5.89761
57.4609	-0.00411367	-6.20371
60.1876	-0.00220812	-6.46565
63.0436	-0.00328526	-6.77549
66.0352	-0.00672004	-7.14348
69.1687	-0.00491392	-7.43837
72.4509	-0.00313069	-7.78771
75.8889	-0.00340215	-8.15623
79.49	-0.00262453	-8.55189
83.2619	-0.00407309	-8.94973
87.2129	-0.00452118	-9.37574
91.3514	-0.00495418	-9.82249
95.6862	-0.00766926	-10.2897
100.227	-0.00643081	-10.8187
104.983	-0.0109324	-11.3384
109.964	-0.00776907	-11.8245
115.182	-0.00780452	-12.3879
120.648	-0.0141835	-13.03
126.373	-0.00932871	-13.5905
132.37	-0.0155895	-14.2909
138.651	-0.0112287	-14.9136
145.23	-0.0111499	-15.6269
152.122	-0.0143274	-16.3648
159.34	-0.0208801	-17.1965
166.901	-0.0191095	-17.9947
174.821	-0.0204084	-18.8447
183.117	-0.0247226	-19.7532
191.806	-0.0219977	-20.6348
200.908	-0.0234639	-21.6141
210.441	-0.0318129	-22.6976
220.427	-0.028079	-23.7155
230.887	-0.0296417	-24.8468
241.843	-0.0345306	-26.022
253.319	-0.0378031	-27.2576
265.34	-0.0394698	-28.5554
277.931	-0.0445827	-29.9047
291.119	-0.054193	-31.3797
304.933	-0.0536716	-32.811
319.403	-0.0575149	-34.3748
334.559	-0.0633329	-36.0061
350.435	-0.069485	-37.7157
367.064	-0.079006	-39.5293
384.482	-0.0856806	-41.3752
402.727	-0.0968681	-43.3852
421.837	-0.103807	-45.4189
441.854	-0.116201	-47.5992
462.821	-0.121982	-49.8126
484.783	-0.135863	-52.1746
507.787	-0.155237	-54.7066
531.882	-0.163492	-57.2425
557.121	-0.181117	-59.982
583.558	-0.194653	-62.8093
611.249	-0.219807	-65.8019
640.254	-0.236827	-68.9104
670.636	-0.2641	-72.2301
702.459	-0.285001	-75.6052
735.792	-0.313269	-79.2198
770.707	-0.347846	-82.9637
807.279	-0.381148	-86.9518
845.586	-0.41501	-91.0415
885.711	-0.452618	-95.3344
927.74	-0.499439	-99.8601
971.764	-0.545761	-104.597
1017.88	-0.599087	-109.554
1066.18	-0.664384	-114.801
1116.77	-0.727054	-120.246
1169.76	-0.794972	-125.913
1225.27	-0.878031	-131.917
1283.41	-0.965531	-138.15
1344.31	-1.05939	-144.652
1408.1	-1.16202	-151.548
1474.92	-1.28134	-158.758
1544.91	-1.40233	-166.281
1618.22	-1.55204	-174.078
1695.01	-1.70915	-182.3
1775.44	-1.88245	-191.033
1859.69	-2.10648	-200.546
1947.93	-2.33247	-209.641
2040.37	-2.43113	-218.741
2137.19	-3.1386	-229.114
2238.6	-3.12096	-245.412
2344.83	-0.858449	-246.751
2456.1	1.03538	-240.922
2572.64	-11.1467	-211.601
2694.72	-7.01442	-305.587
2822.59	-5.40418	-307.485
2956.53	-6.30548	-314.601
3096.82	-6.49589	-333.1
3243.77	-6.95637	-349.137
3397.7	-7.98205	-365.978
3558.93	-9.07847	-383.147
3727.81	-10.3467	-400.729
3904.7	-11.8271	-420.032
4089.98	-13.4725	-439.211
4284.06	-15.4407	-460.77
4487.35	-19.2188	-487.063
4700.29	-21.9173	-490.569
4923.33	-31.1529	-508.001
5156.95	-25.5368	-350.317
5401.66	-20.469	-400.554
5657.98	-19.2396	-424.634
5926.46	-15.9379	-459.086
6207.69	-15.1748	-488.76
6502.25	-13.3192	-518.743
6810.8	-13.4563	-193.197
7133.99	-19.7104	-236.895
7472.51	-7.79088	-246.384
7827.1	-21.1988	-253.935
8198.51	-14.2029	-336.194
8587.55	-15.9903	-385.381
8995.05	-19.8169	-429.106
9421.88	-25.8124	-495.385
9868.97	-32.0766	-523.171
10337.3	-25.1334	-417.545
10827.8	-21.6558	-454.957
11341.6	-19.6613	-505.311
11879.8	-19.9037	-227.288
12443.5	-32.0246	-341.174
13034	-13.9375	-328.945
13652.5	-22.3023	-384.443
14300.3	-32.5397	-462.83
14978.9	-52.0381	-537.57
15689.7	-23.7391	-442.516
16434.2	-24.3047	-497.998
17214	-40.251	-211.387
18030.9	-17.0577	-295.285
18886.5	-23.3089	-399.003
19782.7	-35.6674	-485.705
20721.4	-24.9822	-453.347
21704.7	-19.8342	-205.68
22734.6	-16.9259	-310.164
23813.5	-23.3944	-379.244
24943.5	-51.8277	-470.481
26127.1	-27.2086	-425.957
27366.9	-17.8751	-259.534
28665.5	-25.6374	-81.3585
30025.7	-56.0356	-38.4594
31450.5	-67.2229	-80.1484
32942.9	-41.0724	-225.095
34506.1	-28.6496	-146.197
36143.5	-48.0894	-34.1697
37858.6	-20.3936	83.4783
39655.1	-62.6938	85.3544
41536.8	-30.2963	130.188
43507.8	-50.4319	228.708
45572.4	-55.2203	122.534
47734.9	-32.4195	-8.05503
50000	-182.284	-3.82473
