Frequency	amp(Vo1)	phase(Vo1)
50	-0.000641317	-1.77728
53.6134	-0.00482436	-1.9165
57.4878	-0.00549614	-2.05446
61.6423	-0.00426325	-2.20596
66.0971	-0.00442158	-2.36693
70.8737	-0.00572836	-2.56097
75.9956	-0.00430971	-2.72671
81.4875	-0.00270925	-2.92998
87.3764	-0.0103817	-3.18989
93.6909	-0.00438882	-3.35719
100.462	-0.00485459	-3.60229
107.722	-0.00623478	-3.86989
115.506	-0.00576761	-4.1436
123.854	-0.0076638	-4.44716
132.804	-0.0107379	-4.77165
142.402	-0.00785394	-5.12511
152.693	-0.0131062	-5.49296
163.727	-0.0119356	-5.87972
175.56	-0.0126854	-6.31371
188.247	-0.0188761	-6.77323
201.851	-0.019841	-7.26117
216.438	-0.0232755	-7.8215
232.079	-0.02462	-8.3823
248.851	-0.0323247	-8.98375
266.835	-0.0305752	-9.60262
286.118	-0.0367759	-10.287
306.795	-0.0452132	-11.0364
328.967	-0.0475748	-11.8209
352.74	-0.0539799	-12.6963
378.232	-0.0658352	-13.6227
405.565	-0.0753948	-14.5863
434.875	-0.082978	-15.6456
466.302	-0.0952528	-16.7759
500	-0.119316	-17.9856
536.134	-0.127849	-19.2968
574.878	-0.145699	-20.688
616.423	-0.165765	-22.1808
660.971	-0.192718	-23.7735
708.737	-0.227177	-25.5182
759.956	-0.257442	-27.3506
814.875	-0.295963	-29.3502
873.764	-0.337065	-31.4924
936.909	-0.392093	-33.7411
1004.62	-0.452295	-36.1606
1077.22	-0.517844	-38.7652
1155.06	-0.595807	-41.6341
1238.54	-0.698198	-44.6313
1328.04	-0.795038	-47.7109
1424.02	-0.931882	-51.2294
1526.93	-1.053	-55.2809
1637.27	-1.08487	-58.4336
1755.6	-1.38615	-63.4201
1882.47	-1.60895	-67.2701
2018.51	-1.96009	-74.3857
2164.38	-1.65568	-78.8565
2320.79	-3.44489	-94.4509
2488.51	2.78598	-98.5238
2668.35	-1.36671	-78.8727
2861.18	-5.1952	-97.5121
3067.95	-4.47734	-111.158
3289.67	-4.72876	-135.144
3527.4	-6.52341	-128.11
3782.32	-5.24463	-98.9887
4055.65	-18.8452	-47.1083
4348.75	-2.36267	-7.57412
4663.02	9.40706	-62.037
5000	11.6359	-89.9298
5361.34	9.11949	-126.908
5748.78	0.736157	-172.031
6164.23	-10.2704	-19.3324
6609.71	-3.19535	-36.4803
7087.37	-3.90393	-107.347
7599.56	-2.43124	-148.782
8148.75	-3.2073	-125.875
8737.64	-1.5844	-125.855
9369.09	0.87569	-145.625
10046.2	4.2454	-192.695
10772.2	-5.14011	-205.551
11550.6	-1.57993	-236.077
12385.4	-1.5181	-227.396
13280.4	-3.37819	-289.136
14240.2	-27.5036	-282.974
15269.3	-4.44681	-238.27
16372.7	-6.98506	-331.81
17556	-2.15072	-320.34
18824.7	-3.29067	-279.1
20185.1	-2.0903	-315.473
21643.8	-1.44797	-446.729
23207.9	-32.3155	-244.546
24885.1	-6.56953	-388.327
26683.5	-6.43636	-365.877
28611.8	-3.63308	-203.932
30679.5	-18.277	-268.45
32896.7	-7.01698	-383.043
35274	-24.5524	-223.84
37823.2	-8.15218	-182.767
40556.5	-6.31539	-233.458
43487.5	-12.1798	-234.085
46630.2	-12.5009	-370.966
50000	-9.26514	-535.808
