Frequency	amp(Vo1)	phase(Vo1)
50	0.00100453	-1.73441
53.6134	-0.0160598	-1.90954
57.4878	0.00116061	-2.07316
61.6423	0.010601	-2.21194
66.0971	-0.00121079	-2.36188
70.8737	-0.0175189	-2.57206
75.9956	-0.0047576	-2.77829
81.4875	0.00423704	-2.94609
87.3764	-0.0079982	-3.11897
93.6909	-0.0232805	-3.50634
100.462	-0.00392858	-3.68215
107.722	0.000119808	-3.85859
115.506	-0.00926007	-4.12478
123.854	-0.0342783	-4.43182
132.804	-0.00727911	-4.76491
142.402	-0.00835527	-5.18662
152.693	-0.017106	-5.49216
163.727	-0.0309537	-5.91942
175.56	-0.0133724	-6.27133
188.247	-0.00565266	-6.86233
201.851	-0.0226495	-7.34972
216.438	-0.014824	-7.77192
232.079	-0.0113004	-8.46133
248.851	-0.0235925	-8.99777
266.835	-0.0273501	-9.6924
286.118	-0.0369873	-10.1815
306.795	-0.0363492	-11.0098
328.967	-0.0484757	-11.7259
352.74	-0.0575544	-12.6795
378.232	-0.0486507	-13.6271
405.565	-0.0513181	-14.4709
434.875	-0.0508062	-15.8514
466.302	-0.0772296	-16.7636
500	-0.0515976	-17.6942
536.134	-0.120708	-19.4519
574.878	-0.15237	-20.8388
616.423	-0.204259	-22.2177
660.971	-0.203999	-23.8014
708.737	-0.224078	-25.5185
759.956	-0.286054	-27.3671
814.875	-0.30757	-29.2829
873.764	-0.340606	-31.4368
936.909	-0.373568	-33.6079
1004.62	-0.450786	-36.3511
1077.22	-0.52137	-39.0861
1155.06	-0.637352	-41.7005
1238.54	-0.685675	-44.5808
1328.04	-0.771586	-47.8844
1424.02	-0.92964	-51.3458
1526.93	-1.12229	-55.0228
1637.27	-1.06508	-58.2227
1755.6	-1.42283	-62.7506
1882.47	-1.61221	-67.1888
2018.51	-2.0917	-72.28
2164.38	-2.80482	-74.0617
2320.79	-4.46772	-88.032
2488.51	2.51521	-106.905
2668.35	-1.97803	-118.25
2861.18	-3.56452	-109.621
3067.95	-5.52346	-109.199
3289.67	-5.39709	-115.015
3527.4	-7.85452	-125.518
3782.32	-2.96061	-146.371
4055.65	-4.96339	-162.341
4348.75	0.114802	-77.1071
4663.02	9.50471	-88.4233
5000	11.6359	-89.9342
5361.34	9.06944	-37.9362
5748.78	0.301332	-199.011
6164.23	-12.8153	-63.5023
6609.71	-7.27905	-50.0591
7087.37	-5.12774	-21.6138
7599.56	-4.21771	-153.342
8148.75	-2.57726	-126.517
8737.64	-2.86809	-134.16
9369.09	-3.29608	-141.039
10046.2	4.4346	-182.397
10772.2	0.775558	-197.783
11550.6	-1.28987	-236.681
12385.4	-3.47562	-210.641
13280.4	-2.65563	-346.555
14240.2	-5.52981	-245.284
15269.3	-17.5932	-358.838
16372.7	-10.2384	-307.633
17556	-1.55929	-232.195
18824.7	-2.26984	-282.981
20185.1	-16.5479	-221.129
21643.8	-6.69481	-130.853
23207.9	-2.78004	-74.2981
24885.1	-5.36049	-21.9928
26683.5	-8.04018	-195.882
28611.8	-6.34009	-196.83
30679.5	-9.245	-191.382
32896.7	-22.9362	-81.1192
35274	-9.69656	-225.306
37823.2	-5.33934	-358.698
40556.5	-11.0995	-183.474
43487.5	-4.63418	-301.357
46630.2	-8.61524	-248.611
50000	-24.4713	-365.327
