Frequency	amp(Vo1)	phase(Vo1)
50	-0.000642644	-1.77728
53.6134	-0.00483142	-1.91651
57.4878	-0.00547124	-2.05446
61.6423	-0.00426867	-2.20593
66.0971	-0.00444687	-2.3669
70.8737	-0.0046114	-2.58814
75.9956	-0.00854918	-2.77712
81.4875	-0.00385029	-2.91917
87.3764	-0.00488043	-3.15566
93.6909	-0.0040835	-3.36914
100.462	-0.00504953	-3.60549
107.722	-0.00847164	-3.9003
115.506	-0.00738397	-4.20776
123.854	-0.00840282	-4.4517
132.804	-0.0108363	-4.81547
142.402	-0.00723677	-5.11411
152.693	-0.0107173	-5.53828
163.727	-0.0125953	-5.88641
175.56	-0.0127653	-6.32087
188.247	-0.0191832	-6.76316
201.851	-0.02186	-7.30514
216.438	-0.0213366	-7.76842
232.079	-0.0233526	-8.3478
248.851	-0.0303292	-8.95418
266.835	-0.0307471	-9.60684
286.118	-0.0411469	-10.3289
306.795	-0.0458477	-11.0828
328.967	-0.0471443	-11.824
352.74	-0.054841	-12.6927
378.232	-0.0658824	-13.6032
405.565	-0.0710253	-14.6011
434.875	-0.0836571	-15.6778
466.302	-0.091623	-16.7707
500	-0.120117	-18.0256
536.134	-0.12977	-19.3282
574.878	-0.147331	-20.6858
616.423	-0.172006	-22.1841
660.971	-0.189598	-23.7936
708.737	-0.223028	-25.4888
759.956	-0.253435	-27.3602
814.875	-0.294388	-29.2823
873.764	-0.340059	-31.4359
936.909	-0.389883	-33.6901
1004.62	-0.452244	-36.1371
1077.22	-0.518368	-38.7804
1155.06	-0.596214	-41.5343
1238.54	-0.694796	-44.6096
1328.04	-0.79994	-47.8343
1424.02	-0.917861	-51.4668
1526.93	-1.02867	-54.8395
1637.27	-1.13705	-57.9748
1755.6	-1.36441	-63.2669
1882.47	-1.60006	-67.8251
2018.51	-2.0009	-73.415
2164.38	-1.88821	-81.3893
2320.79	-1.52877	-92.1409
2488.51	0.73336	-128.268
2668.35	-2.09102	-114.764
2861.18	-4.98176	-102.354
3067.95	-5.24605	-111.48
3289.67	-4.1321	-105.225
3527.4	-6.83477	-122.841
3782.32	-17.9748	-199.252
4055.65	-23.3727	-259.673
4348.75	1.50041	-158.843
4663.02	9.49128	-74.8778
5000	11.6344	90.0189
5361.34	9.25724	38.3426
5748.78	1.40989	210.798
6164.23	-7.60883	300.656
6609.71	-1.67009	287.843
7087.37	-3.24193	316.844
7599.56	2.40264	269.184
8148.75	-2.79756	245.924
8737.64	-1.08079	218.464
9369.09	0.968566	205.649
10046.2	-5.51021	112.388
10772.2	-0.946612	163.513
11550.6	-2.69021	119.631
12385.4	-0.852865	61.9679
13280.4	-12.9698	75.2366
14240.2	-12.1883	88.9781
15269.3	0.0361118	242.3
16372.7	-9.3715	112.922
17556	-4.32173	95.738
18824.7	-3.32608	28.7996
20185.1	-3.24822	-26.102
21643.8	-8.6741	-21.7091
23207.9	-6.70984	-11.5445
24885.1	-23.3734	79.3645
26683.5	-6.2854	-96.8147
28611.8	-8.07445	-147.205
30679.5	-17.9893	-291.77
32896.7	-18.6651	-253.759
35274	-6.44618	-218.057
37823.2	-9.24823	-307.8
40556.5	-5.76053	-205.31
43487.5	-9.62053	-217.628
46630.2	-9.61572	-246.588
50000	-9.18565	-358.788
