Frequency	amp(Vo1)	phase(Vo1)
50	0.000999921	-1.73443
53.6134	-0.0160949	-1.90952
57.4878	0.00116733	-2.07314
61.6423	0.0105762	-2.21195
66.0971	-0.0012634	-2.36182
70.8737	-0.0175149	-2.57202
75.9956	-0.00480149	-2.77836
81.4875	0.00420072	-2.94602
87.3764	-0.00808993	-3.11895
93.6909	-0.0233286	-3.50628
100.462	-0.0039518	-3.68184
107.722	4.98718e-005	-3.85846
115.506	-0.00929042	-4.12456
123.854	-0.0344314	-4.43166
132.804	-0.00753239	-4.76501
142.402	-0.00848221	-5.18593
152.693	-0.0172336	-5.49219
163.727	-0.0297083	-5.92044
175.56	-0.0132615	-6.28372
188.247	-0.0130741	-6.92239
201.851	-0.0211042	-7.31458
216.438	-0.0173306	-7.74365
232.079	-0.0129847	-8.50451
248.851	-0.0310143	-8.99618
266.835	-0.0354868	-9.6461
286.118	-0.0281554	-10.1926
306.795	-0.0367495	-11.0422
328.967	-0.0491953	-11.7267
352.74	-0.0584874	-12.6805
378.232	-0.0591428	-13.63
405.565	-0.051226	-14.4634
434.875	-0.0615148	-15.8218
466.302	-0.0771101	-16.7843
500	-0.0517674	-17.6967
536.134	-0.126078	-19.4387
574.878	-0.153404	-20.8013
616.423	-0.20777	-22.2821
660.971	-0.211448	-23.8
708.737	-0.233269	-25.4888
759.956	-0.283066	-27.4318
814.875	-0.326773	-29.3442
873.764	-0.347924	-31.5469
936.909	-0.394366	-33.7344
1004.62	-0.450068	-36.2628
1077.22	-0.505342	-38.6929
1155.06	-0.58696	-41.6127
1238.54	-0.673577	-44.6729
1328.04	-0.810426	-47.6571
1424.02	-0.930922	-51.0286
1526.93	-1.09919	-55.0664
1637.27	-1.35491	-59.7204
1755.6	-1.52852	-63.5224
1882.47	-1.69526	-67.2192
2018.51	-1.81597	-73.2119
2164.38	-2.30408	-73.1559
2320.79	-4.0606	-75.3777
2488.51	1.71396	-118.381
2668.35	-0.882298	-86.5563
2861.18	-4.99996	-101.791
3067.95	-5.68282	-107.934
3289.67	-8.6928	-111.933
3527.4	-7.08275	-122.279
3782.32	-6.42386	-91.3632
4055.65	-5.92502	-175.761
4348.75	1.24849	-186.362
4663.02	9.48826	-259.391
5000	11.638	-269.947
5361.34	8.95597	-138.872
5748.78	0.659184	-168.749
6164.23	-7.17688	-21.4719
6609.71	-2.05502	-56.3662
7087.37	-0.44274	-58.7498
7599.56	-0.860616	-129.233
8148.75	-2.2903	-109.346
8737.64	-3.0815	-130.149
9369.09	-0.273012	-140.22
10046.2	-28.7096	9.46763
10772.2	0.633355	150.014
11550.6	-3.16461	132.265
12385.4	-0.334013	84.8684
13280.4	-4.99366	70.3603
14240.2	-3.9715	109.6
15269.3	-8.83047	197.184
16372.7	-8.16142	61.4359
17556	-3.32713	75.993
18824.7	-5.91238	30.5375
20185.1	-2.66272	-51.4231
21643.8	-2.90837	-94.9457
23207.9	-8.14052	-44.8932
24885.1	-7.58003	86.8168
26683.5	-11.1566	129.045
28611.8	-11.1889	203.748
30679.5	-7.15017	184.069
32896.7	-6.90257	240.287
35274	-8.53231	416.657
37823.2	-5.0303	360.473
40556.5	-10.2965	494.934
43487.5	-10.6694	367.314
46630.2	-9.91752	187.389
50000	-9.63564	360.255
