Frequency	amp(Vo1)	phase(Vo1)
50	0.0640508	-1.59872
53.6134	0.0597644	-1.87962
57.4878	0.0266194	-1.99875
61.6423	0.0273824	-2.19693
66.0971	-0.00719185	-2.37327
70.8737	-0.0328566	-2.53698
75.9956	-0.0752766	-2.7736
81.4875	-0.0823052	-2.97985
87.3764	-0.135425	-3.13543
93.6909	-0.171768	-3.60806
100.462	-0.0335197	-3.64555
107.722	0.016327	-3.96556
115.506	0.0447009	-4.04155
123.854	0.0470535	-4.34438
132.804	0.0492342	-5.0077
142.402	0.0516806	-5.09998
152.693	0.0481328	-5.58168
163.727	0.0218836	-5.95139
175.56	0.0201002	-6.38165
188.247	-0.0116168	-6.92966
201.851	-0.0326941	-7.24074
216.438	-0.0550751	-7.68591
232.079	-0.0927695	-8.51912
248.851	-0.105549	-9.25454
266.835	-0.181004	-9.65424
286.118	-0.10127	-10.4428
306.795	-0.0157247	-11.1383
328.967	-0.0233594	-11.3494
352.74	-0.0237097	-12.5181
378.232	0.0145077	-13.884
405.565	-0.0284462	-14.7952
434.875	-0.0468108	-15.2749
466.302	-0.0891986	-17.0301
500	0.407171	-16.7175
536.134	-0.0241731	-19.9415
574.878	-0.191188	-20.4786
616.423	-0.155706	-22.239
660.971	-0.275548	-24.182
708.737	-0.314141	-25.4055
759.956	-0.318072	-27.6738
814.875	-0.422975	-29.4423
873.764	-0.402019	-31.3448
936.909	-0.282836	-34.685
1004.62	-0.358929	-35.8267
1077.22	-0.563324	-39.3797
1155.06	-0.322516	-41.0985
1238.54	-0.775039	-44.4532
1328.04	-0.758699	-48.4523
1424.02	-0.942188	-50.8836
1526.93	-1.08317	-55.6911
1637.27	-1.05764	-58.3044
1755.6	-1.39804	-62.6831
1882.47	-1.73394	-67.1885
2018.51	-2.19953	-72.1568
2164.38	-1.8194	-78.3159
2320.79	-4.58571	-88.7394
2488.51	0.165281	-131.516
2668.35	-1.05225	-85.3489
2861.18	-3.86504	-98.7607
3067.95	-4.91791	-109.895
3289.67	-4.48202	-129.791
3527.4	-6.82489	-123.885
3782.32	-4.09399	-163.168
4055.65	-6.645	-103.635
4348.75	1.26401	-130.154
4663.02	9.50134	-240.49
5000	11.638	-269.947
5361.34	8.99152	-134.539
5748.78	2.09454	-130.445
6164.23	-12.8333	-38.502
6609.71	-2.68366	-43.6345
7087.37	-1.30851	-63.1741
7599.56	-1.46202	-46.9268
8148.75	-1.75546	-125.22
8737.64	-1.66406	-128.916
9369.09	0.265863	-170.408
10046.2	-0.812166	-235.204
10772.2	-2.14231	-196.586
11550.6	-4.51774	-252.664
12385.4	-5.57243	-322.944
13280.4	-6.66009	-270.534
14240.2	-3.88462	-240.327
15269.3	-19.4776	-219.165
16372.7	-3.55557	-199.463
17556	-3.27892	-244.977
18824.7	-10.7993	-313.548
20185.1	-1.64832	-322.181
21643.8	-4.53742	-429.963
23207.9	-3.37125	-482.002
24885.1	-5.2546	-508.997
26683.5	-35.4406	-528.819
28611.8	-7.19776	-313.385
30679.5	-12.0929	-401.755
32896.7	-10.5828	-514.537
35274	-12.0489	-387.219
37823.2	-10.1743	-233.779
40556.5	-10.5786	-216.839
43487.5	-8.36858	-242.174
46630.2	-9.90558	-146.34
50000	-12.4583	-176.786
